269.45;1262.54;187714.64;1132.96
270.46;1262.54;188478.25;1129.16
271.47;1262.54;189252.51;1125.31
272.47;1262.54;190007.06;1121.54
273.48;1262.54;190772.09;1117.72
274.49;1262.54;191517.61;1113.99
275.5;1262.54;192273.45;1110.2
276.51;1262.54;193009.98;1106.5
277.52;1262.54;193742.06;1102.82
278.53;1262.54;194484.22;1099.08
279.54;1262.54;195149.66;1095.73
280.55;1262.54;195854.38;1092.17
281.55;1262.54;196469.32;1089.06
282.56;1262.54;197180.26;1085.46
283.56;1262.54;197350.23;1084.6
284.57;1262.54;197350.23;1084.6
285.58;1262.54;197350.23;1084.6
286.59;1262.54;197350.23;1084.6
287.6;1262.54;197350.23;1084.6
288.61;1262.54;197350.23;1084.6
289.62;1262.54;197350.23;1084.6
290.63;1262.54;197350.23;1084.6
291.64;1262.54;197350.23;1084.6
292.66;1262.54;197350.23;1084.6
293.67;1262.54;197350.23;1084.6
294.68;1262.54;197350.23;1084.6
295.68;1262.54;197350.23;1084.6
296.68;1262.54;197350.23;1084.6
297.69;1262.54;197350.23;1084.6
298.7;1262.54;197350.23;1084.6
299.71;1262.54;197350.23;1084.6
300.71;1262.54;197350.23;1084.6
301.72;1262.54;197350.23;1084.6
302.72;45000.0;78.44;0.0
303.73;17515.0;78.46;0.41
304.73;17515.0;78.48;0.03
305.75;17515.0;78.48;0.01
306.76;17515.0;78.47;0.01
307.78;17515.0;78.47;0.0
308.79;17515.0;78.47;0.0
309.79;17515.0;78.47;0.0
310.79;17515.0;78.47;0.0
311.8;17515.0;78.47;0.0
312.8;17515.0;78.47;0.0
313.81;17515.0;78.47;0.0
314.81;17515.0;78.47;0.0
315.82;17515.0;78.47;0.0
316.83;17515.0;78.47;0.0
317.85;17515.0;78.47;0.0
318.86;17515.0;78.47;0.0
319.87;17515.0;78.47;0.0
320.88;17515.0;78.47;0.0
321.89;17515.0;78.47;0.0
322.89;17515.0;78.47;0.0
323.9;17515.0;78.47;0.0
324.91;17515.0;78.47;0.0
325.92;17515.0;78.47;0.0
326.92;17515.0;78.47;0.0
327.93;17515.0;78.47;0.0
328.94;17515.0;78.47;0.0
329.94;17515.0;78.47;0.0
330.95;17515.0;78.47;0.0
331.95;17515.0;78.47;0.0
332.96;17515.0;78.47;0.0
333.97;17515.0;78.47;0.0
334.98;17515.0;78.47;0.0
335.98;17515.0;78.47;0.0
336.99;17515.0;78.47;0.0
338.0;17515.0;78.47;0.0
339.01;17515.0;78.47;0.0
340.01;17515.0;78.47;0.0
341.03;17515.0;78.47;0.0
342.04;17515.0;78.47;0.0
343.05;17515.0;78.47;0.0
344.05;17515.0;78.47;0.0
345.06;17515.0;78.47;0.0
346.06;17515.0;78.47;0.0
347.07;17515.0;78.47;0.0
348.08;17515.0;78.47;0.0
349.08;17515.0;78.47;0.0
350.1;17515.0;78.47;0.0
351.11;17515.0;78.47;0.0
352.11;17515.0;78.47;0.0
353.13;17515.0;78.47;0.0
354.14;17515.0;78.47;0.0
355.15;17515.0;78.47;0.0
356.16;17515.0;78.47;0.0
357.16;17515.0;78.47;0.0
358.16;17515.0;78.47;0.0
359.17;17515.0;78.47;0.0
360.17;17515.0;78.47;0.0
361.18;17515.0;78.47;0.0
362.19;17515.0;78.47;0.0
363.19;17515.0;78.47;0.0
364.2;17515.0;78.47;0.0
365.2;17515.0;78.47;0.0
366.21;17515.0;78.47;0.0
367.22;17515.0;78.47;0.0
368.24;17515.0;78.47;0.0
369.24;17515.0;78.47;0.0
370.25;17515.0;78.47;0.0
371.25;17515.0;78.47;0.0
372.25;17515.0;78.47;0.0
373.26;17515.0;78.47;0.0
374.28;17515.0;78.47;0.0
375.28;17515.0;78.47;0.0
376.3;17515.0;78.47;0.0
377.31;17515.0;78.47;0.0
378.33;17515.0;78.47;0.0
379.34;17515.0;78.47;0.0
380.36;17515.0;78.47;0.0
381.36;17515.0;78.47;0.0
382.37;17515.0;78.47;0.0
383.37;17515.0;78.47;0.0
384.39;17515.0;78.47;0.0
385.4;17515.0;78.47;0.0
386.41;17515.0;78.47;0.0
387.41;17515.0;78.47;0.0
388.42;17515.0;78.47;0.0
389.44;17515.0;78.47;0.0
390.44;17515.0;78.47;0.0
391.45;17515.0;78.47;0.0
392.45;17515.0;78.47;0.0
393.47;17515.0;78.47;0.0
394.48;17515.0;78.47;0.0
395.49;17515.0;78.47;0.0
396.5;17515.0;78.47;0.0
397.51;17515.0;78.47;0.0
398.52;17515.0;78.47;0.0
399.52;17515.0;78.47;0.0
400.53;17515.0;78.47;0.0
401.54;17515.0;78.47;0.0
402.54;17515.0;78.47;0.0
403.55;17515.0;78.47;0.0
404.55;17515.0;78.47;0.0
405.55;17515.0;78.47;0.0
406.56;17515.0;78.47;0.0
407.58;17515.0;78.47;0.0
408.58;17515.0;78.47;0.0
409.59;17515.0;78.47;0.0
410.6;17515.0;78.47;0.0
411.61;17515.0;78.47;0.0
412.62;17515.0;78.47;0.0
413.63;17515.0;78.47;0.0
414.64;17515.0;78.47;0.0
415.64;17515.0;78.47;0.0
416.66;17515.0;78.47;0.0
417.67;17515.0;78.47;0.0
418.67;17515.0;78.47;0.0
419.69;17515.0;78.47;0.0
420.69;17515.0;78.47;0.0
421.7;17515.0;78.47;0.0
422.7;17515.0;78.47;0.0
423.71;17515.0;78.47;0.0
424.71;17515.0;78.47;0.0
425.72;17515.0;78.47;0.0
426.72;17515.0;78.47;0.0
427.73;17515.0;78.47;0.0
428.75;17515.0;78.47;0.0
429.76;17515.0;78.47;0.0
430.77;17515.0;78.47;0.0
431.78;17515.0;78.47;0.0
432.78;17515.0;78.47;0.0
433.79;17515.0;78.47;0.0
434.8;17515.0;78.47;0.0
435.81;17515.0;78.47;0.0
436.81;17515.0;78.47;0.0
437.83;17515.0;78.47;0.0
438.83;17515.0;78.47;0.0
439.84;17515.0;78.47;0.0
440.85;17515.0;78.47;0.0
441.86;17515.0;78.47;0.0
442.86;17515.0;78.47;0.0
443.87;17515.0;78.47;0.0
444.88;17515.0;78.47;0.0
445.89;17515.0;78.47;0.0
446.9;17515.0;78.47;0.0
447.91;17515.0;78.47;0.0
448.92;17515.0;78.47;0.0
449.93;17515.0;78.47;0.0
450.93;17515.0;78.47;0.0
451.94;17515.0;78.47;0.0
452.95;17515.0;78.47;0.0
453.96;17515.0;78.47;0.0
454.96;17515.0;78.47;0.0
455.96;17515.0;78.47;0.0
456.97;17515.0;78.47;0.0
457.98;17515.0;78.47;0.0
458.98;17515.0;78.47;0.0
460.0;17515.0;78.47;0.0
461.01;17515.0;78.47;0.0
462.01;17515.0;78.47;0.0
463.03;17515.0;78.47;0.0
464.04;17515.0;78.47;0.0
465.05;17515.0;78.47;0.0
466.05;17515.0;78.47;0.0
467.06;17515.0;78.47;0.0
468.06;17515.0;78.47;0.0
469.07;17515.0;78.47;0.0
470.08;17515.0;78.47;0.0
471.09;17515.0;78.47;0.0
472.09;17515.0;78.47;0.0
473.11;17515.0;78.47;0.0
474.13;17515.0;78.47;0.0
475.13;17515.0;78.47;0.0
476.14;17515.0;78.47;0.0
477.15;17515.0;78.47;0.0
478.15;17515.0;78.47;0.0
479.16;17515.0;78.47;0.0
480.17;17515.0;78.47;0.0
481.17;17515.0;78.47;0.0
482.19;17515.0;78.47;0.0
483.2;17515.0;78.47;0.0
